"Data Source","World Development Indicators",

"Last Updated Date","2019-10-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Dominican Republic","DOM","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3420","3530","3940","4180","4330","4590","4910","5350","5670","5980","6310","6510","6820","6600","6740","7720","8610","9360","9860","9920","10730","11140","11510","12040","13020","14020","14910","15630","16960","",
"Algeria","DZA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6460","6340","6470","6410","6310","6480","6740","6880","7240","7430","7760","8230","8640","9330","9820","10480","10930","11720","12120","12170","12630","12910","13230","13520","14010","14320","14900","15030","15350","",
"East Asia & Pacific (excluding high income)","EAP","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1415.53371409437","1553.62658742649","1728.10101369348","1932.14705998505","2159.12701821982","2366.38541550989","2592.34184242332","2784.68128083865","2798.10077538037","2968.22472995699","3246.40096793474","3512.93516205246","3822.38452451548","4193.58796633282","4650.63290669014","5179.77018768727","5878.28142461355","6721.39825414684","7385.06863449126","7887.96728236942","8684.42165914715","9499.96146673481","10363.3402090157","11159.2610213094","12125.5366492892","12904.1845495208","13771.7551037016","14838.0216765483","16006.4338623449","",
"Early-demographic dividend","EAR","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2704.09113181061","2872.93210041743","3004.80161558914","3172.18972237794","3278.25950854052","3401.21677685545","3580.3611958859","3732.4390370561","3789.23816748921","3856.60843886345","4055.04304650626","4166.84608858495","4254.12814100668","4488.15506834659","4819.31649249362","5188.37614742488","5647.90613211351","6085.92069539306","6374.65993164948","6479.91956775","6879.01577788959","7273.29348810605","7617.99745973915","7982.52867445599","8408.57713519588","8809.05498940368","9262.49404847624","9764.59576191465","10282.8255206097","",
"East Asia & Pacific","EAS","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3184.99189161064","3426.40922019687","3649.59114988575","3893.1218536408","4182.82109264633","4477.81381537614","4796.13367198747","5052.88739021059","5040.77925525227","5269.849865462","5688.90182145768","5999.59851206338","6379.91078678902","6802.45599513143","7387.35874984578","8008.04883082427","8831.01235705269","9791.44278776928","10433.1482623557","10784.8845253419","11715.9738372261","12579.324895806","13484.0739629689","14384.6811235936","15331.2414094447","16145.7810483902","17006.6765071639","18111.1047302343","19287.6314555121","",
"Europe & Central Asia (excluding high income)","ECA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6457.31365631263","6271.07291965828","5701.34552106994","5471.15221664563","4970.52445253219","4953.92026038092","4991.6327023298","5155.84445820183","5166.46881420898","5321.29347649052","5955.40192399982","6335.40779555013","6793.15721515473","7445.90440987849","8372.49715934488","9388.17354417244","11178.4194097788","12502.3624169061","14344.8706822269","13850.4971521023","14808.2471429377","16806.2964844318","17721.4260730997","18402.8209334279","18891.211667109","18713.0132710497","18997.0307064393","20244.5167557828","21189.0226646211","",
"Europe & Central Asia","ECS","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11488.4508987633","11820.2757264123","11867.9532827889","11954.815785806","12193.3447115353","12569.7594837666","13002.3899696066","13590.2095439197","14102.296847952","14650.7763940562","15804.2932192716","16580.6665089568","17362.9453103513","18025.2730615448","19167.8717771304","20228.1846623911","22340.6375907725","23850.9317454377","25381.0694697476","24787.9314910942","25875.2676727662","27611.5726625318","28328.5491434108","29304.848127486","30038.1911507539","30481.6539817938","31380.0705812832","33235.722846083","34330.7199061661","",
"Ecuador","ECU","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4460","4770","4930","5070","5300","5440","5500","5740","5840","5390","5460","5800","6070","6230","6780","7290","7740","8000","8660","8660","8980","9730","10330","10870","11310","11230","11020","11240","11410","",
"Egypt, Arab Rep.","EGY","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3730","3940","4110","4240","4410","4630","4850","5100","5360","5630","6000","6240","6380","6560","6890","7230","7880","8550","9170","9420","9620","9730","9940","10080","10350","10750","11140","11510","12080","",
"Euro area","EMU","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17007.5090708967","17935.3329321534","18504.9183233544","18740.6660613159","19503.4361225988","20379.8070809854","21040.4271652592","21912.4719602449","22894.7514349614","23819.4641353622","25308.5600995245","26416.1480406778","27378.3668170808","27851.0037272421","29081.2522415528","30132.2707559478","32635.8228290646","34425.6745164439","35613.991785148","34947.0162040846","35972.2710197388","37638.0891883407","38075.7473119935","39280.7761850646","40175.4426090915","41112.3463917715","42870.4191745142","45328.4393568935","46498.855261739","",
